carpeta,archivo,tipo,fecha_utc,elementos_de_referencia
imagenes/2026-08,hf_20260828_065527_c9dba225-2cd4-4521-9ebc-1d6c296815bf.png,image,2026-08-28 06:55,
imagenes/2026-08,hf_20260828_065550_557f6388-8e32-4bb1-a89f-317ebc1d3847.png,image,2026-08-28 06:55,
imagenes/2026-08,hf_20260828_065841_c9477b2d-529b-4dab-a3bd-6a71b7b36d07.png,image,2026-08-28 06:58,
imagenes/2026-08,hf_20260828_070013_814e18a2-43e8-49b1-8e98-7e425a25ae83.png,image,2026-08-28 07:00,
imagenes/2026-08,hf_20260828_070612_b12771f6-b331-4926-bbb0-b72a7ae695b2.png,image,2026-08-28 07:06,
imagenes/2026-08,hf_20260828_070911_b20d09bb-0671-42ca-b85b-be75b0a20a34.png,image,2026-08-28 07:09,
imagenes/2026-08,hf_20260828_071320_aac8fe0e-cb01-4f19-80c9-70419cb93ddb.png,image,2026-08-28 07:13,
imagenes/2026-08,hf_20260828_071402_04d450d2-7da6-4258-802e-d7f67ac2f577.png,image,2026-08-28 07:14,
imagenes/2026-08,hf_20260828_071721_6d4f7548-9ad1-4241-b2aa-b0a305f9c1c1.png,image,2026-08-28 07:17,
imagenes/2026-08,hf_20260828_071847_c24b1831-b484-42b0-8de2-805a3ec72049.png,image,2026-08-28 07:18,
imagenes/2026-08,hf_20260828_072404_1f0cf8ad-2c3c-4abc-8e93-7dd22eb49162.png,image,2026-08-28 07:24,
imagenes/2026-08,hf_20260828_072605_c68053b7-676a-4b73-b622-956d829548bb.png,image,2026-08-28 07:26,
imagenes/2026-08,hf_20260828_072805_1600090d-f795-43a7-b06c-9b342e25e4f8.png,image,2026-08-28 07:28,
imagenes/2026-08,hf_20260828_073015_99a0ea0f-bce7-4e06-a1c3-0173423bc5fd.png,image,2026-08-28 07:30,
imagenes/2026-08,hf_20260828_073232_c072c021-6e40-475b-8f11-5846999d81c9.png,image,2026-08-28 07:32,
imagenes/2026-08,hf_20260828_073446_68b01d58-f441-463c-845c-7d1eedf8010d.png,image,2026-08-28 07:34,
imagenes/2026-08,hf_20260828_074742_af245b21-d5df-4ae7-9f69-76e1907bcbaf.png,image,2026-08-28 07:47,
imagenes/2026-08,hf_20260828_074903_85224b3f-0f54-4a6c-9af8-f8ffe60e94df.png,image,2026-08-28 07:49,
imagenes/2026-08,hf_20260828_075435_d864628e-8442-4fe3-9019-5b0e1b7cc4e3.png,image,2026-08-28 07:54,
imagenes/2026-08,hf_20260828_075909_082ef782-30bf-4355-bff7-e20f734fc931.png,image,2026-08-28 07:59,
imagenes/2026-08,hf_20260828_080858_71930910-f061-4f80-b1d8-b2512924bde7.png,image,2026-08-28 08:08,
imagenes/2026-08,hf_20260828_081022_db7e3648-46c8-453e-90a1-ea392e7f2981.png,image,2026-08-28 08:10,
imagenes/2026-08,hf_20260828_082712_8ce45461-e5bd-4c18-b682-eedb8573d83b.png,image,2026-08-28 08:27,
imagenes/2026-08,hf_20260828_083017_519c0833-e4b6-4729-abdc-2b5d7bc4c818.png,image,2026-08-28 08:30,
imagenes/2026-08,hf_20260828_083720_35c09a7d-e371-4a80-997e-57deccb38be9.png,image,2026-08-28 08:37,
imagenes/2026-08,hf_20260828_083807_9075ae20-6186-4731-9129-162a4be227c4.png,image,2026-08-28 08:38,
imagenes/2026-08,hf_20260828_084406_f0595e5d-5eee-4674-888f-ab4de31d3f0e.png,image,2026-08-28 08:44,
imagenes/2026-08,hf_20260828_084931_d30c2688-bec7-4dfd-b9ec-5716af1849e1.png,image,2026-08-28 08:49,
imagenes/2026-08,hf_20260828_085923_3101931b-2a41-4ab2-838b-2555cbfbec2e.png,image,2026-08-28 08:59,
imagenes/2026-08,hf_20260828_090200_706c5227-a31f-46b1-bbc6-e5fb1c5016a2.png,image,2026-08-28 09:02,
imagenes/2026-08,hf_20260828_091600_f4691385-2372-44ea-a92a-fa74eed3e7dc.png,image,2026-08-28 09:16,
imagenes/2026-08,hf_20260828_092502_48880ee5-09b8-4c76-8599-57d799eb58c8.png,image,2026-08-28 09:25,
imagenes/2026-08,hf_20260828_092515_a171cc05-a4c8-4f0a-a269-3268c08a0b9c.png,image,2026-08-28 09:25,
imagenes/2026-08,hf_20260828_093122_16d7abae-cbeb-4c8a-9f96-149d29eeb8f9.png,image,2026-08-28 09:31,
imagenes/2026-08,hf_20260828_093832_8ab78ea2-d719-44aa-b532-8c48cfd8b7e5.png,image,2026-08-28 09:38,
imagenes/2026-08,hf_20260828_094040_e10d5d66-4d00-4e66-880d-eb0000b43e91.png,image,2026-08-28 09:40,
imagenes/2026-08,hf_20260828_094340_00f2e82e-111c-42a6-ae92-b178abe39a47.png,image,2026-08-28 09:43,
imagenes/2026-08,hf_20260828_094536_35c3344d-cc87-4ce7-a8fa-aaf938ebd56e.png,image,2026-08-28 09:45,
imagenes/2026-08,hf_20260828_094929_a66a23ec-2bba-42a2-bf9f-dab96f87c773.png,image,2026-08-28 09:49,
