clip,title,prompt
155,establishing Erdia ruinas,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. RÓTULO ERDIA · AÑO 20. The golden city now grey and broken in two — fog, soldiers, towering murals of the King over rubble. Shot/lens: wide establishing over the ruined city. Camera: slow mournful crane over the grey. Light: cold, smoke-filtered, gold long dead. Action: the camera glides over Erdia twenty years on — a grey, fractured city under fog, imperial murals looming above rubble where gardens used to be. Mood: ruin, dread. Audio: SFX only — wind, distant patrols, a sick low hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
156,detalle: el nombre de Stella tachado,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. A graffiti-scarred wall. Shot/lens: insert on Stella's name crossed out, hate-scrawl around it. Camera: slow push to the defaced name. Light: grey, harsh. Action: on a cracked wall, Stella's name is struck through and ringed with twenty years of scrawled hatred — the lie the King built. Mood: bitter, accusatory. Audio: SFX only — wind, a far-off shout. No music. Negative: no blood, no gore, no guns, no on-screen text. (Only the in-world defaced name on the wall.)"
157,la nave aterriza / bajan,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. A scrap-strewn landing. Characters: @Brog, @Nima, @Noah, @StellaTeñida. Shot/lens: the small ship lands; the team steps out. Camera: low, dust settling around their boots. Light: grey daylight. Action: a small ship sets down among the scrap; @Brog, @Nima, @Noah and @StellaTeñida — hooded, dark-dyed hair — step out into the ruined city she once called home. Mood: return, tension. Audio: SFX only — landing thrusters, settling dust, wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
158,"el odio del pueblo / ""por eso volví""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. A grey market street. Characters: @StellaTeñida, @Noah. Shot/lens: they move through hostile stares; an old man spits. Camera: handheld through the crowd, then close two-shot. Light: grey, hard faces. Action: @StellaTeñida moves through the crowd under the hatred the King taught them — an old man spits at her name; @Noah leans in. Dialogue (@Noah): ""A whole planet hates you. And you still came back."" — (@StellaTeñida): ""That's why I came back."" Mood: resolve against the world. Audio: SFX only — hostile murmurs, a spit, wind. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
159,la resistencia los intercepta,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. A shadowed alley. Characters: @Korin, @StellaTeñida, @Brog, @Nima, @Noah. Shot/lens: resistance steps out, weapons up; Korin aims at Stella. Camera: tense, weapons leveling. Light: grey, shadow. Action: a resistance group steps from the shadows, weapons raised; at the front an older @Korin levels his aim at the hooded @StellaTeñida. Mood: standoff. Audio: SFX only — weapons priming, a low order. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
160,se baja la capucha,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida, @Korin. Shot/lens: she lowers the hood; he doesn't recognize the dark hair. Camera: slow push to his hardening face, about to give the order. Light: grey on her face. Action: @StellaTeñida lowers her hood; @Korin, seeing only the dark-dyed hair, doesn't know her, his finger tightening to give the order. Mood: a breath from disaster. Audio: SFX only — tense quiet, a weapon's hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
161,Korin la reconoce (la conoció de pequeña),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Korin, @StellaTeñida. Shot/lens: he studies her face; an old memory surfaces and breaks him. Camera: slow push to his face as recognition dawns. Light: grey, a softening on his weathered face. Action: then, under the dyed hair, @Korin recognizes her face — the little girl he knew twenty years ago, always at her mother's side; his aim drops, his voice cracking. Dialogue (@Korin): ""Stella…? I knew you when you were small — always at your mother's side. It's you. You came back."" Mood: reunion, disbelief. Audio: SFX only — his breaking voice, lowered weapons. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
162,el murmullo del reencuentro,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Korin, resistance loyalists. Shot/lens: faces of old loyalists realizing she's back. Camera: slow drift across faces — hope and fear. Light: grey, a flicker of warmth. Action: word ripples through the old loyalists that Stella has returned — faces caught between hope and fear, twenty years of grief stirring. Mood: fragile hope. Audio: SFX only — hushed murmurs spreading. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
163,EN ÓRBITA: Vosk ruega bajar,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. The nodriza bridge, Erdia boiling on the viewport. Characters: @Vosk, @Theron. Shot/lens: Vosk at the viewport, Theron behind. Camera: slow push between them. Light: cold bridge glow, planet-light. Action: in orbit @Vosk watches Erdia churn and turns to @Theron; the hunter doesn't agree — but doesn't stop him. Dialogue (@Vosk): ""Let me go down. She's alone."" — (@Theron): ""Not our war."" — (@Vosk): ""It became mine the day she pulled me out of that pit."" Mood: loyalty earned. Audio: SFX only — bridge hum, his low voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
164,Theron no lo impide,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron. Shot/lens: Theron alone, watching the planet, saying nothing. Camera: slow push, brooding. Light: cold, planet-glow on his face. Action: @Theron stares at Erdia and lets @Vosk go without a word, his own ancient suspicion pulling him toward the surface too. Mood: the hunter circling. Audio: SFX only — deep bridge hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
165,ante el anciano esclavo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. A resistance refuge in the rubble. Characters: @Korin, @StellaTeñida, @NaioRescatado. Shot/lens: Korin leads her to a bent, half-blind old man. Camera: slow reveal of Naio. Light: dim, a single lamp. Action: @Korin leads @StellaTeñida to a bent, half-blind old slave — @NaioRescatado, her father, unrecognizable under twenty years. Mood: dread, hope. Audio: SFX only — dripping, low refuge sounds. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
166,"""papá""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida, @NaioRescatado. Shot/lens: she kneels; he can't find her face. Camera: intimate two-shot. Light: lamp-glow. Action: @StellaTeñida sinks to her knees before him and says it; @NaioRescatado searches for a face he can't place. Dialogue (@StellaTeñida): ""Dad."" Mood: aching. Audio: SFX only — her soft voice, his breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
167,siente la llave en la palma,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @NaioRescatado, @StellaTeñida. Props: @LlaveDeLuz, @Orbe. Shot/lens: he takes her hand and feels the sigil glow. Camera: push to their joined hands, the @LlaveDeLuz pulsing. Light: the sigil's warm glow between them. Action: @NaioRescatado takes her hand — and feels the @LlaveDeLuz pulsing beneath her skin, the @Orbe still safe; recognition floods him. Mood: the truth landing. Audio: SFX only — a soft pulse, his breath catching. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
168,"""mi niña del río""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @NaioRescatado, @StellaTeñida. Shot/lens: primerísimo plano sostenido of his good eye flooding. Camera: held, intimate. Light: lamp-glow on tears. Action: @NaioRescatado's good eye floods; he cradles her face, twenty years collapsing into one moment. Dialogue (@NaioRescatado): ""You came back. Twenty years. You kept it safe. My river girl."" Mood: overwhelming tenderness. Audio: SFX only — his weeping voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
169,el abrazo,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida, @NaioRescatado. Shot/lens: the embrace, held. Camera: slow circle, warm. Light: lamp-glow. Action: father and daughter hold each other, twenty years of loss folding into a single trembling embrace. Mood: reunion. Audio: SFX only — quiet weeping, a held breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
170,la promesa (le calla lo de Vera),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida, @NaioRescatado. Shot/lens: she promises; he can't bear to tell her the truth about Vera. Camera: intimate, a shadow of grief on his face. Light: lamp-glow. Action: @StellaTeñida swears to get them all out; @NaioRescatado, no heart to tell her what they believe of Vera, lets her keep her hope. Dialogue (@StellaTeñida): ""Mom's alive, Dad. I'll get you all out. Selka too. I promise."" Mood: hope built on a hidden grief. Audio: SFX only — her voice, his silence. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
171,estalla el asalto,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. The fog-streets erupting into war. Characters: resistance, @RobotImperial. Shot/lens: wide as the assault detonates across the streets. Camera: kinetic, in the chaos. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: energy-fire lacing the fog. Action: the resistance assault erupts across the grey fog-streets — naieli surging against imperial robots, the war begins in a storm of energy-light and dust. Mood: chaos, uprising. Audio: SFX only — energy fire, shouts, collapsing stone. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
172,"Brog, Nima, Noah en combate","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Brog, @Nima, @Noah, @RobotImperial. Shot/lens: the crew tearing through robots. Camera: fast handheld, impact frames. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: sparks, energy flares. Action: @Brog smashes breaches through robot lines, @Nima's four arms dismantle units mid-stride, @Noah covers with his light-blade — the found family at war. Mood: ferocious teamwork. Audio: SFX only — crushing impacts, energy clashes, servos. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
172A,cobertura de batalla (acción ×2),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: resistance, @RobotImperial. Shot/lens: sweeping battle coverage, naieli rising in the ruins. Camera: whip-pans across the front line. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: strobing energy-fire, fog lit from within. Action: the camera sweeps the battle — ragged naieli charging imperial robots through the grey ruins, banners and energy-light, the fury of a people who waited twenty years. Mood: epic, desperate. Audio: SFX only — roaring crowd-of-war, energy volleys. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
173,rescatan a Naio,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @NaioRescatado, resistance. Shot/lens: a commando pulls Naio to safety in the chaos. Camera: running handheld, dust. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: chaos, smoke. Action: in the chaos a resistance commando hauls @NaioRescatado clear of the fighting, shielding him toward safety. Mood: rescue under fire. Audio: SFX only — running, shouts, fire. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
174,Stella rompe la misión,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. The palace looming above the battle. Characters: @StellaTeñida. Shot/lens: primer plano of her looking up at the dome, decision made. Camera: slow push, then a snap up to the palace. Light: grey, the palace dark above. Action: @StellaTeñida looks up at the high dome of the palace and breaks from her recon mission — her face fixed, unstoppable. Mood: resolve. Audio: SFX only — battle behind, her breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
174A,arranca la escalada,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida. Shot/lens: she sprints up the rubble and leaps onto the palace wall. Camera: fast low track, then a vertiginous tilt up as she leaps. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: grey, energy-fire below. Action: @StellaTeñida sprints up a slope of rubble and launches onto the sheer palace wall, slamming a handhold and starting to climb as the battle rages far beneath her boots. Mood: explosive drive. Audio: SFX only — running, a hard impact on stone, distant fire. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
175,la escalada bajo fuego,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. The towering palace façade. Characters: @StellaTeñida. Shot/lens: vertiginous vertical, she climbs under energy-fire. Camera: vertical tracking up the façade, dizzying. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: energy bolts bursting the stone beside her. Action: @StellaTeñida scales the towering palace alone, energy-fire shattering the stone at her hands, leaping from ledge to ledge toward the highest dome — tiny against the colossus. Mood: vertigo, drive. Audio: SFX only — energy impacts on stone, wind, her grunts. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
175A,el ascenso final (acción ×2),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @ErdiaRuinas — match its architecture, materials, colors; lush, detailed, painterly background. Near the glass dome. Characters: @StellaTeñida. Shot/lens: a ledge crumbles; she lunges and catches the dome's rim. Camera: the camera drops with the falling debris, then snaps up as she catches. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: grey sky, the dome ahead. Action: a ledge crumbles under @StellaTeñida; she lunges through open air and barely catches the rim of the glass dome, hanging over the drop, then hauls herself up — face all teeth and will. Mood: white-knuckle. Audio: SFX only — crumbling stone, a lunge, a hard catch. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
176,la figura blanca espera,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaTrono — match its architecture, materials, colors; lush, detailed, painterly background. Seen down through the glass ceiling: a vast throne hall, one white figure standing still at its center. Characters: @StellaTeñida (above), @SelkaGeneral (below, distant). Shot/lens: Stella's POV down through the glass at the waiting figure. Camera: slow, ominous. Light: cold hall-light below. Action: through the glass dome @StellaTeñida sees the throne hall far below — and a single white figure standing perfectly still at its heart, as if it knew she would come. Mood: fate closing. Audio: SFX only — muffled battle, a held breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
177,rompe el cristal,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaTrono — match its architecture, materials, colors; lush, detailed, painterly background. The glass ceiling of the throne hall. Characters: @StellaTeñida. Props: @Orbe. Shot/lens: she strikes the glass with the Orb; it shatters in slow motion. Camera: impact + slow-mo shards. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: the Orb's flare, glass catching light. Action: @StellaTeñida slams the @Orbe into the glass dome — it shatters into a slow rain of shards — and she drops through into the throne hall. Mood: the plunge into the climax. Audio: SFX only — a surge, glass shattering, rushing air. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
177A,el cristal estalla (slow-mo),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @SalaTrono — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaTeñida. Props: @Orbe. Shot/lens: extreme detail of the dome shattering, shards spinning in light. Camera: slow-motion through the breaking glass with her. Motion: very high motion strength, vertiginous and visceral, rapid handheld + whip-pans + impact frames + motion blur, hits land with weight, faces in sharp focus with raw expression. Light: the @Orbe flare refracting through a thousand shards. Action: the glass dome detonates into a slow-spinning storm of shards lit by the @Orbe's flare; @StellaTeñida plunges through the center of it, glass blooming outward around her like a halo. Mood: spectacular plunge. Audio: SFX only — a glass detonation, ringing shards, rushing air. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
