clip,title,prompt
89,establishing de la nodriza,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. A vast dark cargo bay of an ancient mothership; cold metal ribs, dim amber work-lights, @NaveStella's wrecked hull clamped in mechanical arms like caught prey. Shot/lens: wide establishing of the cavernous bay. Camera: slow drift through the gloom toward the wreck. Light: low amber pools, deep shadow. Action: the camera glides through the immense, silent bay, revealing @NaveStella broken and held in the claws of something far older and bigger than anything on Erdia. Mood: alien, ominous, small. Audio: SFX only — deep hull groans, dripping metal, a low hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
90,Stella despierta,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. The cold bay floor. Characters: @StellaPeloCorto. Props: @Orbe, @LlaveDeLuz. Shot/lens: close on @StellaPeloCorto waking, disoriented. Camera: a slow push as she checks her hand first. Light: dim amber on her face. Action: @StellaPeloCorto jolts awake on the metal floor; before anything else her eyes snap to her palm — the @LlaveDeLuz still glows, the @Orbe still inside — and a flicker of relief crosses her exhausted face. Mood: disoriented, relief, grief beneath. Audio: SFX only — her gasp, distant hull hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
90A,el duelo al despertar,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Shot/lens: primerísimo plano on her face. Camera: slow push as grief crashes in. Light: dim amber on wet eyes. Action: as she registers where she is, the grief of the escape crashes back over @StellaPeloCorto — her mother, the allies — her face crumpling before she forces it flat, utterly alone in a strange universe. Mood: raw grief, isolation. Audio: SFX only — a caught sob, distant hull hum. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
91,aparece Theron,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. The shadowed bay. Characters: @Theron, @StellaPeloCorto. Shot/lens: a huge shadow resolves into @Theron. Camera: slow push to his unblinking eyes. Light: he steps half into the amber light, ageless and still. Action: a vast shadow shifts in the gloom and @Theron steps forward — tall, of another species, eyes that never blink, centuries worn into his face; @StellaPeloCorto scrambles back on guard. Mood: dread, awe. Audio: SFX only — heavy quiet steps, her sharp breath. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
92,"""I picked you up""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron, @StellaPeloCorto. Shot/lens: shot-reverse between them. Camera: steady, cold. Light: amber on her, shadow on him. Action: @StellaPeloCorto, broken-voiced, asks if he saved her; @Theron answers without warmth. Dialogue (@StellaPeloCorto): ""Where am I? Did you save me?"" — (@Theron): ""No. I picked you up. There's a difference."" Mood: cold, transactional. Audio: SFX only — hull hum, low voices. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
93,"""what shines can be followed""","Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @Theron, @StellaPeloCorto. Props: @Orbe. Shot/lens: close on Theron eyeing the glow in her hand. Camera: slow push to the Orb's light under her skin. Light: the @Orbe casting glow on both faces. Action: @Theron's gaze locks onto the light pulsing in her palm as he speaks, reading her like a trail rather than a person. Dialogue (@Theron): ""What you carry inside shines. And what shines like that… can be followed."" Mood: predatory calm. Audio: SFX only — low hum, his measured voice. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
94,esconde la mano (es un rastro),"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NaveNodriza — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto. Shot/lens: primerísimo plano of her face and fist. Camera: micro push as she closes her hand. Light: amber, the glow hidden as she clenches. Action: @StellaPeloCorto closes her fist over the light and hides it against her chest, a new fear dawning — to him she is not a rescued child but bait. Mood: dawning fear, alone. Audio: SFX only — a held breath, distant hum. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
95,establishing pasillos/bodega,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Cramped, grimy ship corridors and a cluttered hold; a motley crew of strange species eyeing the newcomer. Characters: @StellaPeloCorto, crew (varied aliens). Shot/lens: wide of the hold, crew turning to look. Camera: slow track past hostile faces. Light: harsh work-lights, deep shadows. Action: @StellaPeloCorto moves through the grimy hold under the cold stares of a mismatched alien crew who clearly think she does not belong aboard. Mood: unwelcome, out of place. Audio: SFX only — machinery, low alien murmurs. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
96,la desprecian,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, crew. Shot/lens: medium; a plate knocked to the floor. Camera: handheld, dismissive energy. Light: harsh. Action: crew shove past her, ignore her, and a passing hand knocks her food plate to the deck; @StellaPeloCorto watches it scatter, jaw tight. Mood: humiliation, swallowed pride. Audio: SFX only — clatter, jeers. No music. Negative: no blood, no gore, no guns, no on-screen text, no watermark."
96A,se encoge en un rincón,"Style: Satoshi Kon–style anime, cinematic composition, cinematic mood, 2D hand-painted Ghibli touch, fluid motion, film-grade lighting, soft grain. 21:9, 15s. Setting: the location shown in @NodrizaInterior — match its architecture, materials, colors; lush, detailed, painterly background. Characters: @StellaPeloCorto, crew. Shot/lens: wide, small in the corner of the hold. Camera: static, the crew moving around her. Light: harsh work-light, deep shadow. Action: @StellaPeloCorto folds into a corner of the hold, knees up, watching the strange alien crew move around her — bracing, out of place. Mood: small, wary. Audio: SFX only — machinery, low alien murmurs. No music. Negative: no blood, no gore, no guns, no firearms, no on-screen text, no watermark."
